Name,Address,Location,Category,Additional Info,page,location_cleaned
Angolini Lidia,Cannaregio 5791,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bagnardi Maria,Castello 1131,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Banali Amedeo,"Mestre, Piazzale Foscari 4",Mestre,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bernardi Giovanna Lucia,Mestre v. Olivi,Mestre,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bernardi Giuseppe,S. Marco 344,Lido,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bertani A. G. di Gaggia Rosetta ved. Bertun,S. Marco 944,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bille tedc. a,S. Croce 847 C,S. Croce,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Bon Guglielmo Lodovico,"Burano, Via Galuppi 19",Burano,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Campagnoli Angelina,"Murano, Via Miani 58",Murano,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Campagnoli Giuseppe,Cannaregio 6966,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Candadoro Giuseppe,Dorsoduro 2761,,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,True
Canci Giuseppina,Mestre Via Catene 18,Mestre,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Capuzzo Domenico,S. Marco 1150,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Careri Alessandro Favaro Veneto,S. Marco 1150,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Ceccato Enrico,"Mestre, Via Umberto I. 33",Mestre,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Cenedese Gino,Cannaregio 1338 A,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Cercato Ida,"Mestre, Via Rosa 8",Mestre,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Cettinco Elena ved. Buttolas,Castello 5469,Chincaglierie ed affini,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Chiesy Giuseppe,D. Duro 3485,Dorsoduro,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Ciriali Umberto,Dorsoduro 546,Dorsoduro,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
Citran Luigia,"Murano forn, Manin 50",Murano,Chincaglierie ed affini,"Cartotecnica,  Tipografia",183,False
