Name,Address,Location,Category,Additional Info,page
Brancaione Ettore,S. Marco 943,S. Marco,Macchine per scrivere,Ristoranti,287
Brozzo Pietro,S. Marco 4014,S. Marco,Macchine per scrivere,Ristoranti,287
Bubbin Antonio,Lido Via Lepanto 11-B,Lido,Macchine per scrivere,Ristoranti,287
Buffoli Guerino,S. Marco 1031,S. Marco,Macchine per scrivere,Ristoranti,287
Busecemi Carmelo,S. Polo 703,S. Polo,Macchine per scrivere,Ristoranti,287
Busetti Bruno,S. Marco 2435,S. Marco,Macchine per scrivere,Ristoranti,287
Buso Luigi,Mestre Galleria,Mestre,Macchine per scrivere,Ristoranti,287
Buzegato Rodolfo,S. Marco 725-B,S. Marco,Macchine per scrivere,Ristoranti,287
Callegari Silvio,Mestre Via Carducci 8,Mestre,Macchine per scrivere,Ristoranti,287
Calzavara Luigi,Chirignago Piazza 141,Chirignago,Macchine per scrivere,Ristoranti,287
Caforio Giovanni,S. Marco, Ponte dell'Angelo,S. Marco,Ristoranti,287
Camorli Aldo,S. Polo 2618,S. Polo,Macchine per scrivere,Ristoranti,287
Canarie Silvio,D. Duro 3534,Dorsoduro,Macchine per scrivere,Ristoranti,287
Catarozzo Giuseppe,S. Marco 952,S. Marco,Macchine per scrivere,Ristoranti,287
Cardinali Bruno,Lido Via Duse Michel 30,Lido,Macchine per scrivere,Ristoranti,287
Carraretto Attilio,Rialto 1002,Campalto,Macchine per scrivere,Ristoranti,287
Caruso Ciro,Castello 1760,Castello,Macchine per scrivere,Ristoranti,287
Castellani Amedeo,Mestre Piazza Cesare Battisti 8,Mestre,Macchine per scrivere,Ristoranti,287
Castellaro Gino,Carpenedo Via S. Dona 243 Cavalle, S. Bartolomeo,Carpenedo,Ristoranti,287
Cavallini Ettore,Mestre Via Durando 2,Mestre,Macchine per scrivere,Ristoranti,287
Cecchinato Romano,"Mestre Via Durando 2, Via S. Dona 13",Campalto,Carpenedo,Carpenedo,287
Cecconi B.,San Marco,Campalto,Macchine per scrivere,Ristoranti,287
Cella Emanuele,San Tomà 288,San Tomà,Macchine per scrivere,Ristoranti,287
Ceretta Dino,San Tomà 288,Chirignago,Macchine per scrivere,Chirignago Catene,287
Cervi Antonio Placido,Mestre Via Cava- lotti 5-2,Mestre,Macchine per scrivere,Ristoranti,287
Cecili Giordano,Castello 2660,Castello,Macchine per scrivere,Ristoranti,287
Coppola Luigi,Mestre Via Carducci 66,Mestre,Macchine per scrivere,Ristoranti,287
Corradini Ferruccio,S. Marco 4481,S. Marco,Macchine per scrivere,Ristoranti,287
Cosalstei Giuseppe,Mestre Via Nuova 60,Mestre,Macchine per scrivere,Ristoranti,287
Cosum Luigi,Mestre Via Nuova 60,Campalto,Macchine per scrivere,Trevigiano,287
Costantini Francesco,Castello 5666,Castello,Macchine per scrivere,Ristoranti,287
Crivellari Umberto,Mestre Via Colombo 1,Mestre,Macchine per scrivere,Ristoranti,287
Cuna Antonio,Castello 385,Castello,Macchine per scrivere,Ristoranti,287
D’Adamo Gaileano,Cannaregio 3962,Cannaregio,Macchine per scrivere,Ristoranti,287
