Name,Address,Location,Role,Profession,page
Gianquinto avv. Gio Batta.,,palazzi Farsetti e Loredan,Sindaco,", MUNICIPIO",48
Tolomei dr. Francesco,,palazzi Farsetti e Loredan,Prosinidaco,", MUNICIPIO",48
Valentini Arturo,,palazzi Farsetti e Loredan,Prosinidaco,", MUNICIPIO",48
Cacciapaglia comm. dr. Michelangelo,Palazzo Loredan,palazzi Farsetti e Loredan,Segretario generale,SUDDIVISIONE DEGLI UFFICI,48
,Palazzo Loredan,palazzi Farsetti e Loredan,Vice Segretario gen.,SUDDIVISIONE DEGLI UFFICI,48
,Palazzo Loredan,palazzi Farsetti e Loredan,Capo Divisione,SUDDIVISIONE DEGLI UFFICI,48
Cometti cav. Umberto,Palazzo Loredan,palazzi Farsetti e Loredan,Dirigente incaricato,SUDDIVISIONE DEGLI UFFICI,48
,Palazzo Loredan,palazzi Farsetti e Loredan,Capo ufficio,SUDDIVISIONE DEGLI UFFICI,48
,Palazzo Loredan,palazzi Farsetti e Loredan,Capo Divisione,SUDDIVISIONE DEGLI UFFICI,48
Pignatti dr. Gino,Palazzo Loredan,palazzi Farsetti e Loredan,Capo ufficio,SUDDIVISIONE DEGLI UFFICI,48
Tognana Francesco,Palazzo Loredan,palazzi Farsetti e Loredan,Ufficio Contravvenzioni,SUDDIVISIONE DEGLI UFFICI,48
Mannini cap. Guglielmo,Palazzo Loredan,palazzi Farsetti e Loredan,Direttore,"Uff. Stazione di Cura,  Soggiorno,  Turismo",48
,Palazzo Loredan,palazzi Farsetti e Loredan,Vice Direttore,SUDDIVISIONE DEGLI UFFICI,48
Ditta Trezza,Palazzo Loredan,palazzi Farsetti e Loredan,Esattore dell'imposta di soggiorno,SUDDIVISIONE DEGLI UFFICI,48
Mazzoleni Giovanni,Palazzo Loredan,palazzi Farsetti e Loredan,Gerente,SUDDIVISIONE DEGLI UFFICI,48
,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Ingegnere capo,DIREZIONE LAVORI E SERVIZI PUBBLICI,48
Astolfoni ing. Astolfo,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Capo Divisione,Divisione tecnologica,48
Rossi ing. Giulio,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Capo Div.,Sezione Città,48
,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Capo Sez.,Sezione Terraferma,48
Midrio ing. Antonio,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Capo Sez.,Sezione Estuario e Marghera,48
Puppolin cav. uff. Attilio,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Capo Sez.,Patrimonio,48
Dozzi dr. Giulio,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Segretario Capo Sezione,Sezione Amministrativa,48
Santini dr. Mario,"Palazzo Farsetti, p. III",palazzi Farsetti e Loredan,Direttore giardini pubblici,DIREZIONE LAVORI E SERVIZI PUBBLICI,48
Ori cav. uff. Prof. dr. Alessandro,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Ufficiale sanitario medico capo,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Torresini dr. Aldo,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Medico ispettore del servizio sanitario,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Braion dr. Arnolfo (internino),"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Medico vic\ ispettore del servizio sanitario,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
De Giorgio Peloso dr.sa Maria Teresa,"Palazzo Loredun, p. III",Medico ispettore,scuole,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Leggrezi Sanciati dr. Emma,"Palazzo Loredun, p. III",Medico ispettore,scuole,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Ispettore servizi di annona,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Guidastri dr. Carlo,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Vice ispettore di annona,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Chiamenti ing. Armando,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Ingegnere igienista,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Tescari dr. Domenico,"Palazzo Loredun, p. III",palazzi Farsetti e Loredan,Segretario capo sezione,DIREZIONE SERVIZI DI IGIENE E DI ASSISTENZA PUBBLICA,48
Romano cav. dr. Aronne,"Palazzo Loredun, p. III",S. Ghibobe,Direttore veterinario,", MACELLO COMUNALE",48
Iadnini dr. Luigi,"Palazzo Loredun, p. III",S. Ghibobe,Veterinario assistente,", MACELLO COMUNALE",48
Matteotti Ferruccio,"Palazzo Loredun, p. III",S. Ghibobe,Ispettore,CIMITERI COMUNALI,48
