Provincia,Section,Role_or_Profession,Name,Address,page
ANNONE VENETO,UFFICI AMMINISTRATIVI,Sindaco,Perulli Luigi,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Segretario Comunale,De Lorenzo rag. Felice Tullio,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Esattore Comunale,Cassa di Risparmio di Venezia (succursale di Portogruaro),,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Ufficiale Sanitario,Serra dott. Nicolo,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Veterinario (Consorziale),Zoccoli dr. Giuseppe,Portogruaro,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Gozzo Angelina,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Nadalin Vittoria,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Franzoi,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Gonella,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Bravin Dolo,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Corbetta Palmira,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Turchetto Augusta,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Flaborea Luigina,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Quagliarella Lidia,,518
ANNONE VENETO,UFFICI AMMINISTRATIVI,Maestre elementari,Mazzolin Nice,,518
ANNONE VENETO,UFFICI PUBBLICI,Tribunale,Venezia,,518
ANNONE VENETO,UFFICI PUBBLICI,Pretura,Portogruaro,,518
ANNONE VENETO,UFFICI PUBBLICI,Conciliatori,Serra dott. Nicolo,,518
ANNONE VENETO,UFFICI PUBBLICI,Ufficio Ipoteche,Venezia,,518
ANNONE VENETO,UFFICI PUBBLICI,Ufficio Registro,Portogruaro,,518
ANNONE VENETO,UFFICI PUBBLICI,Agenzia Imposte,Portogruaro,,518
ANNONE VENETO,UFFICI PUBBLICI,Ufficio Postale,Concordia,,518
ANNONE VENETO,UFFICI PUBBLICI,Ufficio Telegrafico,Concordia,,518
ANNONE VENETO,UFFICI PUBBLICI,Telefono Pubblico,Concordia,,518
ANNONE VENETO,UFFICI PUBBLICI,Parroco,James Mons. dott. Luigi,,518
ANNONE VENETO,PROFESSIONISTI,Ostetriche,Mior Amalia,,518
ANNONE VENETO,PROFESSIONISTI,Ostetriche,Piccolo Luigia,,518
ANNONE VENETO,PROFESSIONISTI,Medici,Serra dott. Nicolo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Autisti,Viganadel Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Autisti,Stumetto Natale,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Autotrasporti,Bellomo Orazio e Comune,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Autotrasporti,Prevarin Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Autotrasporti,Stefanon Giovanni,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Barbieri,Grando Sergio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Barbieri,Anese Attilio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Barche (noleggio),Furlanis Armando fu Vincenzo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Barche (noleggio),Canciani Giulio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Barche (noleggio),Mior Sante,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Caberlotto Luigi,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Cusin Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Canciani Romolo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Battiston Maria ved. Falcon,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Furlanis Davide,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Gavzin Luigi,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Querini Anna,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Vendrame Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Balde, coloniali ed affini",Defendi Rosalia,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Carradori e Carrozzieri,Trevisan Angelo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Carradori e Carrozzieri,Simoni Natale,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Carradori e Carrozzieri,Simon Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Cereali, farine e granaglie",Oderico Giovanni e Biasotto F.lli,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Cereali, farine e granaglie",Drigo Fil,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Consorzio di bonifica,Consorzio di Lugugna.,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Consorzio di bonifica,Palii Grande e Bandoquerelle,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Foraggi,Canciani Giulio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Foraggi,Furlanis Giovanni fu Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Fotografi,Morin Giovanni,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Amm.ne Bonazza,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Amm.ne Carluetti,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,F.lli Dal Ferro,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Falcon Angelo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Furlanis Giuseppe,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Stefanon Natale fu Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Macchine trebbiatrici,Stefanon Giovanni fu Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Madollearie,Flaborea Agostino,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Madollearie,Furlanis Giuseppe,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Madollearie,Gaiarin Aldo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Manifatture, mercerie, filati",Defendi Rosalia,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Manifatture, mercerie, filati",Mior Amabile,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,"Manifatture, mercerie, filati",Padovese Anna ved. Dainese,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Meccanici,Comisso Domenico,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Meccanici,Giuseppin Giuseppe,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Meccanici,Fiorin Romolo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Meccanici,Grando Amando,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Meccanici,Zanon Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mediatori,Flaborea Ambrogio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mediatori,Furlanis Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mediatori,Furlanis Giovanni,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mediatori,Furlanis Giuseppe,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mediatori,Flaborea Gino,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Molini e pilierie,Oderico Giovanni,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Monta taurina,Amministrazione Bonazza,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Monta taurina,Amministrazione Carneuetti avv. Francesco,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Monta taurina,Furlanis Sante,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Monta taurina,Rubbalzav avv. Otello,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Monta taurina,Fratelli Dal Ferro,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Stefanon Natale,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Stefanon Giovanni,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Mullner Francesco,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Falcon Paolo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Furlanis Luigi e F.lli,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Pizzan Antonio,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Mototaratrici,Favro Giuseppe,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Panifici e rivendite pane,Canciani Carlo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Panifici e rivendite pane,Flaborea E.lli,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Panifici e rivendite pane,Mior Amabile,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Pesce fresco,Furlanis Romolo,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Pesce fresco,Bergamo Davide,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Tabacchi,Battiston Maria ved. Falcon,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Tabacchi,Defendi Rosalia di Gio. Batta,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Tabacchi,Caberlotto Luigi,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Tabacchi,Furlanis Davide fu Davide,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Tabacchi,Mior Amabile,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Trattorie e Osterie,Falcon Sante,,518
ANNONE VENETO,COMMERCIO E INDUSTRIA,Trattorie e Osterie,Canciani Carlo,,518
