Name,Address,Location,Role,Profession,Additional Info,page
S. Em. Rev.ma il Card. Patri- ca,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Presidente,,COMMISSIONE PER IL CATECHISMO,87
S. Ecc. Jeremich Mons. Gior.,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Vice Preside.,,COMMISSIONE PER IL CATECHISMO,87
Machtareh mons. Erminio.,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Segretario,,COMMISSIONE PER IL CATECHISMO,87
S. Ecc. Mons. Jeremich.,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Presidente,,COMMISSIONE PER LARTE SACRA,87
Bressan mons. Lettore.,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Segretario,,COMMISSIONE PER LARTE SACRA,87
Padre Davido da Portogruaro O. F. M.,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,,COMMISSIONE PER LARTE SACRA,87
Gusso ing. Franco,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,,COMMISSIONE PER LARTE SACRA,87
Marangoni comm. ing. Luigi,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,,COMMISSIONE PER LARTE SACRA,87
Petich Mons. Francesco,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,,COMMISSIONE PER LARTE SACRA,87
Scarpa Bolla scultore,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,,COMMISSIONE PER LARTE SACRA,87
Scattolin lino,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,Architetto,COMMISSIONE PER LARTE SACRA,87
Tito Luigi,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Membri,Pittore,COMMISSIONE PER LARTE SACRA,87
Vio mons. Luigi,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Presidente,,COMMISSIONE PER LA MUSICA SACRA,87
Quintarelli don Ilario,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Segretario,,COMMISSIONE PER LA MUSICA SACRA,87
S. E. Rev.ma Jeremich dr. Giovanni,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Presidente,,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
Schiavon don Giovanni,PARROCCHIE E SUCCURSALI,Curia Patriarcale,Segretario,,COMMISSIONE PER LA SOLUZIONE DEI CASI DI COSCIENZA,87
S. E. Rev.ma Jeremich mons,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Curia Patriarcale,,Canonici residenziali (arcidiacono prima dignità),BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA | dr. Giovanni,87
Seno Mons. Riccardo,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Curia Patriarcale,Canonici residenziali (arciprete seconda dignità),,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Menegazzi mons. Carlo,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Petich mons. Francesco,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Urbanì mons. Salvatore,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Spanoïco mons. dr. Giuseppe,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Curia Patriarcale,Canonici residenziali (teolog.),,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Costantini mons. Dario,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Scattolin mons. Giosuè,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Curia Patriarcale,Canonici residenziali (penitenz),,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Machtareh mons. Erminio,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
De Luca Mons. Attilio,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Zanin mons. Adolfo,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Silvestrini mons,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Curia Patriarcale,Canonici residenziali,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA | Francesco,87
Pescini mons. Giuseppe,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari (residente a Roma),,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Vianello mons. Gio Batta,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Gusso mons. Giovanni,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Jandelli mons. dr. Evelio,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Bottacin mons. Riccardo,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
Freranica mons. Antonio,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,Canonici Onorari,,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,BASILICA PATRIARCALE PRIMARIZIALE METROPOLITANA DI S. MARCO EVANGELISTA,87
