Name,Address,Location,Category,Additional Info,page
Tomas Ettore,"S. Marco, 657",Murano,Caffè (esercizi),Category: Barbieri,162
Tonellato Amelia,Castello 4832,Murano,Caffè (esercizi),Category: Barbieri,162
Turchetto Anna,"Cannaregio, 690",Murano,Caffè (esercizi),Category: Barbieri,162
Vella Vincenzo,"S. Polo, 1601",Murano,Caffè (esercizi),Category: Barbieri,162
Vanuzzo Giulio,Castello 5801,Murano,Caffè (esercizi),Category: Barbieri,162
Venturini Elena,Cannaregio 5819,Murano,Caffè (esercizi),Category: Barbieri,162
Venturini Elvira,Cannaregio 2519,Murano,Caffè (esercizi),Category: Barbieri,162
Vianello Mario,"Dorsoduro, 684",Murano,Caffè (esercizi),Category: Barbieri,162
Vianello Teresa,Castello 1258,Murano,Caffè (esercizi),Category: Barbieri,162
Vittor Guido,"S. Marco, 4173",Murano,Caffè (esercizi),Category: Barbieri,162
Viviani Emma,"Castello, 4590",Murano,Caffè (esercizi),Category: Barbieri,162
Zaffalon Gioseffa,S. Polo 2346,Murano,Caffè (esercizi),Category: Barbieri,162
Zanato Francesco,Castello 4509,Murano,Caffè (esercizi),Category: Barbieri,162
Zane Emilio,"S. Polo, 1462",Murano,Caffè (esercizi),Category: Barbieri,162
Zanon Abele,Castello 6102,Murano,Caffè (esercizi),Category: Barbieri,162
Zanon Marcello,S. Polo 2062,Murano,Caffè (esercizi),Category: Barbieri,162
Ziliotto Angelo,Castello 5910,Murano,Caffè (esercizi),Category: Barbieri,162
,Castello 5910,Location,Bronzi,Additional Info,162
Pietro Barazzi fu Giovanni,Campo dei Frari 3013 (di fronte alla Chiesa),Location,Category,"Officina per la lavorazione di oggetti Artistici, Fonderie-di metalli in genere, Bronzi, Leghe leggere, Ferro battuto, Filigrana, Armature, Piatti cesellati, spiazi ed incisi, Specialità maniglierie in qualsiasi genere.",162
Valese Luigi (Ditta),"San Canciano, calle Bandi, 5474",Location,Category,"Fonderia Artistica e Meccanica con Lavoratorio Bronzi, Tel. 22-608.",162
Zancopé Emanuele,S. Marco 9078,Location,Category,Additional Info,162
Bonivento Carlo,S. Polo 2271,Location,Category,Budella salate,162
Valier Alberto (ditta),Cannaregio 654,Location,Category,Budella salate,162
Valier Cesare (ditta),Cannaregio 760,Location,Category,Budella salate,162
Valier Francesco (ditta),S. Polo 2122,Location,Category,Budella salate,162
Panisson Attilio,Cannaregio 719 D,Location,Category,"Budella, Sego e affini",162
Valer Giacomo,Cannaregio 538 A,Location,Category,"Budella, Sego e affini",162
Brighenti Renato,"S. Marco, Spadaria 673",Location,Category,"Busti Bernè e delle migliori Marche, Cinture, Reggiseni, Reggicalze, Tel. 25-599.",162
Magazzini Fasoli,Mercerie San Zulian 735,Location,Category,Busri,162
Ferraboschi Silvio,Mercerie San Zulian 735,Location,Venezia,"Impianti Costruzoni Elettriche industriali, Tel. 25-847.",162
,Mercerie San Zulian 735,Location,Caffè (esercizi),Additional Info,162
Acerboni Giovanni II.,Cannaregio 3822,Location,Category,Additional Info,162
Alessi Antonio,Cannaregio 4386,Location,Category,Additional Info,162
Andream Angelo,Castello 1645,Location,Category,Additional Info,162
Antico Caffè Martini,"S. Marco, 1980",Location,Gerente Baldi Antonio,Additional Info,162
Arone Pietro,S. Polo 2279,Location,Bar," Caffè, ",162
Bar-Caffè «Grande Italia»,S. Marco 4747,Location,Category,Additional Info,162
Bar-Caffè «Ristorante Romano»,Cannaregio 122-A,Location,Category,Additional Info,162
Bar dell’Orologio," ""S. Marco 290""",Location,Soc. An.,Additional Info,162
Bar Gelateria Antonio Fontanelle,"Piazza Umberto I, 699",Mestre,Category,Additional Info,162
Baradella Maria,Dorsoduro 794,Location,Category,Additional Info,162
Barbieri (ditta),"Dorsoduro 794, 4578-C",Location,Category,S. Luca,162
Battistella Gemma,Cannaregio 6370,Location,Category,Additional Info,162
Battistoni Antonio Silvio,Cannaregio 223-B,Location,Category,Additional Info,162
