Name, Address, Location, Category, Additional Info,page
Mazzocco Cav. Giuseppe,"""Palazzo Surian, Fond. Cannaregio 970""",, Cannaregio," Ghiaiacie,  Premiato Sugherificio Veneto",213
Frigoriferi Generali S. A.," ""S. Basilio 867-A (Marittima)""", , Ghiaccio (fabbriche), S. Industria Frigorifera,213
Fabbrica Ghiaccio G. Giustina,"""S. Basilio 867-A (Marittima)"", calle Cappuccine 6576""",, ,"Ghiaccio (fabbriche),  Uffici e fabbrica | ""S. Giustina",213
Girulo G., Cannaregio 5102, , Ghiaccio (fabbriche),,213
Ravaghan F.lli, Rialto Pescheria, , Ghiaccio (fabbriche),,213
Società Anonima Birra Padovana Dreher, S. Marco 4090, , Ghiaccio (fabbriche),,213
Soc. an. D'Este Novello e C., Via 22 Marzo 2279, , Ghiaccio (fabbriche),,213
Soc. An. Frigus,Via 22 Marzo 2279, , Ghiaccio (fabbriche),Porto Marghera,213
Überti Umberto, Cannaregio 2940-A, , Ghiaccio (fabbriche),,213
Zacchello F.lli, Via Cattapan 9, Mestre, Ghiaccio (fabbriche),,213
Acetri Umberto, Castello 3970, , Ghiaccio (vendita),,213
Berengo Attilio, Castello 5824, , Ghiaccio (vendita),,213
Boscolo Aurora, Via Roma 357, Mestre, Ghiaccio (vendita),,213
Facchini Pietro, S. Polo 312, , Ghiaccio (vendita),,213
Hanaschik Elvira, Castello 3918, , Ghiaccio (vendita),,213
Naiusson Vina in Rospetta, Cannaregio 1597, , Ghiaccio (vendita),,213
Pianzutti Valentina, Castello 6441, , Ghiaccio (vendita),,213
Renon Alice,"Castello 6441, Via E. Dandolo 19 D""",, ,"Ghiaccio (vendita), | ""Lido",213
Renon Antonio,"Castello 6441, Via E. Dandolo 19 D"", Via E. Dandolo 60""",, ,"Ghiaccio (vendita), | ""Lido",213
Sorogio Mario,"Castello 6441, Via E. Dandolo 19 D"", Via E. Dandolo 60"", Via Rizzardi 5""",, ,"Ghiaccio (vendita), | ""Marghera",213
Scarpa Rosa,"Dorsoduro, 837-A",, Ghiaccio (vendita),,213
Serpellon Giovanna, Cannaregio 327, , Ghiaccio (vendita),,213
Sonrla Laura, Dorsoduro 1045, , Ghiaccio (vendita),,213
Zacchello Maddalena, Via Olivi 7, Mestre, Ghiaccio (vendita),,213
Zotti Giovanni, Castello 5687, , Ghiaccio (vendita),,213
Barina Camillo,Castello 5687, Caser sul Sile, Ghiaia,Cto D'Oro 3935 | Industrie Ghiaia,213
I.G.A. Industria Ghiaia Adige,"Castello, S. Filippo e Giacomo 4833",, Ghiaia,,213
Cecchianio Enrico, Via Puccini 3, Mestre, Ghiaia,,213
Cecchinato Giuseppe, Via Mezzacapo, Porto Marghera, Ghiaia,,213
Azienda Commerciale Italiana Carboni Sopor az., S. Marco 4023, , Ghia,,213
Bruna Francesco, Cannaregio 3568, , Ghia,,213
Tagliaube Giuseppe,Cannaregio 3568, Marghera, Ghia,,213
Al Pupo,"Cannaregio 3568, 2213",, Giocattoli,Assortimento Giocattoli di ogni tipo-Concerzioni per Bambino | S. Fosca,213
Bastussi Carlotta,"Cannaregio 3568, 2213", , Giocattoli,,213
Biasin Romano,"Cannaregio 3568, 2213"," Zona C""", ,"Giocattoli, | ""Lido",213
Burguiuo Giuseppe, Via Pave, Mestre, Giocattoli,,213
Cancl Giuseppeina, Via Catene 18, Mestre, Giocattoli,,213
Cedrescle Gmo, Cannaregio 1535 A, , Giocattoli,,213
Cetineto Elena, S. Polo 696, , Giocattoli,,213
Dallin Giuseppe, S. Croce 1850, , Giocattoli,,213
D’Alpoas Ida, S. Polo 2433, , Giocattoli,,213
D’Attavera Adda, S. Marco 780, , Giocattoli,,213
Di Lupo Angelo, Cannaregio 4449, , Giocattoli,,213
