Name,Address,Location,Category,Additional Info,page
Manfren Mario,"S. Croce, Fondamenta Minotto ai Tolentini 152 a",Venezia,IMPERMEABILI,"IMPERMEABILI,  TESSUTI,  LINGERIE",216
Moda Viennese,"S. Marco, Merceria S. Zulian, 717",Venezia,IMPERMEABILI,"STOFFE,  IMPERMEABILI,  CONFEZIONI PALEOT,  SOPPABITI ED AFFINI",216
Gasparini Giovanni,"S. Zulian, 708",Mestre,confezioni per uomo camiceria," maglierie,  Mercerie,  ",216
Manfren Mario,Minotto ai Tolentini 152.A.,Mestre,IMPERMEABILI,Fdm,216
Martini Fulvia di Pietro,"San Marco, Ponte delle Ostreghc, 2427-8",Mestre,IMPERMEABILI,Ufficio e negozio (già Filiale Saccheria Ravennate),216
Vianello Antonio,"Castello, S. Lio, 5578",Mestre,IMPERMEABILI,"Impermeabili,  Confezioni per Uomo",216
Vittadello Alessandro,S. Marco 917-18-19,Mestre,IMPERMEABILI,(fabbriche),216
Salvo Rag. Giuseppe,"S. Marina, 6107",Mestre,Impianti,Impianti in acciaio inossidabile,216
A.F.E.,San Samuele 3857,Mestre,Impianti antifurto,"Concessionario per Le Tre Venezie,  della S. A.,  La Luce RA. Impianti Antifurto « Argoteo »,  Amedeo Fuga",216
S.A. Giuseppe De Micheli & C.,"Firenze, Piazza Stazione, 1",Mestre,Impianti condizionamento d’aria,"Impianti riscaldamento, Sanitari, Lavanderie meccaniche, Condizionamento d’aria, Cucine, Costruzioni meccaniche, Sede e amministrazione; Filiale di Venezia: S. Luca, 4590",216
Automatismi,"S. Tomà fdm, Frescada 3895",Mestre,Impianti elettrici,"Azienda Industriale applicazioni Elettroautomatiche,  Impianti terrestri e navali",216
Bortoli Comm. Ettore,"Lido, Viale S. M. Elisabetta 31",Mestre,Impianti elettrici,(fabbriche),216
Caberlotto Giovanni,"Piazza C. Battisti, 16",Mestre,Impianti elettrici,"Impianti Elettrici,  Illuminazione e Forza Motrice,  Fornitore Materiali Elettrici",216
Cargagachi Pietro,Calle della Bissa 5475,Mestre,Impianti elettrici,(fabbriche),216
Cimarosti e Fabris,Via Cattaneo 37,Mestre,Impianti elettrici,(fabbriche),216
Crovato Antonio,S. M. Formosa 5853.-54,Mestre,Impianti elettrici,(fabbriche),216
Arti Grafiche Esperia,S. Antonin 3579 a,Venezia,Impianti elettrici,Tel. 23-658,216
