Provincia,Section,Role_or_Profession,Name,Address,page
PORTOGRUARO,COMMERCIO E INDUSTRIA,Fabbri ferrai,Fumoio Vittorio,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Fabbri ferrai,Santon Gio,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Fabbri ferrai,Zamborlini Sante,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Fabbri ferrai,Zaimolini Agostino,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Falegnami,Dreoi Pietro,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Falegnami,Drigo Giuseppe,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Falegnami,Serman Giovanni,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Falegnami,Todolon Ferdinando,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Farmacie,Comunato dott.ssa Jaettita,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Latterie,Latteria Sociale Turnaria di Fossalta di Portogruaro,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Macellieri,Gobesso Davide,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Macellieri,Nonis Antonio,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Manifattura, Eredi Martina,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Marmi (Lavorazione),Coassin Mauro,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Marmi (Lavorazione),Perosa Domenico,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Marmi (Lavorazione),Perosa Agostino,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Medici,Ciueto Andrea,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Medici,Sancòon Davide,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Molini e pilperie,Rossi Gio Batfa,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Motoraiuta,Battistun Fratelli di Giuseppe,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Motoraiuta,Nonis Giuseppe,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Panichè,Zamburlini Leda in Arcangelo,,525
PORTOGRUARO,COMMERCIO E INDUSTRIA,Panichè,Scuento Maria in Zamborlini,,525
