Provincia,Section,Role_or_Profession,Name,Address,page
,VENEZIA,COMMERCE E INDUSTRY,Macellerie,Roma Cesare,,533
,VENEZIA,COMMERCE E INDUSTRY,Macellerie,Franzin Vincenzo,,533
,VENEZIA,COMMERCE E INDUSTRY,Manifatture, Roiter Silvia,,533
,VENEZIA,COMMERCE E INDUSTRY,Manifatture, Torcitura Veneziana,,533
,VENEZIA,COMMERCE E INDUSTRY,Mediatori, Collauto Giovanni,,533
,VENEZIA,COMMERCE E INDUSTRY,Mediatori, Pillon Giuseppe,,533
,VENEZIA,COMMERCE E INDUSTRY,Mediatori, Pillon Romano,,533
,VENEZIA,COMMERCE E INDUSTRY,Mobili comuni e di lusso, Boso Guido e Luigi,,533
,VENEZIA,COMMERCE E INDUSTRY,Molineri di pellicce, Cogo Giuseppe,,533
,VENEZIA,COMMERCE E INDUSTRY,Monta taurina ed equina, Cavasin Giuseppe,,533
,VENEZIA,COMMERCE E INDUSTRY,Monta taurina ed equina, Cope Vincenzo,,533
,VENEZIA,COMMERCE E INDUSTRY,Monta taurina ed equina, Mustriner Fortunato,,533
,VENEZIA,COMMERCE E INDUSTRY,Monta taurina ed equina, Cornoldi Mattuzzi,,533
,VENEZIA,COMMERCE E INDUSTRY,Officine fabbrili, Franzin Giuseppe,,533
,VENEZIA,COMMERCE E INDUSTRY,Orologiai, Scomparin Vincenzo,,533
,VENEZIA,COMMERCE E INDUSTRY,Padiglioni, Bizzano Giovanni,,533
,VENEZIA,COMMERCE E INDUSTRY,Padiglioni, De Sordi Antonio,,533
,VENEZIA,COMMERCE E INDUSTRY,Passeri fiere, Celussi Luigi,,533
,VENEZIA,COMMERCE E INDUSTRY,Polieri, Bolzan F.lli,,533
,VENEZIA,COMMERCE E INDUSTRY,Prodotti e concimi chimici, Consorzio Agrario Provinciale,,533
,VENEZIA,COMMERCE E INDUSTRY,Riparazione veicoli, Sguazzon Guglielmo,,533
,VENEZIA,COMMERCE E INDUSTRY,Salumerie, Franzin Bruna,,533
,VENEZIA,COMMERCE E INDUSTRY,Salumerie, Natante Ruggero,,533
,VENEZIA,COMMERCE E INDUSTRY,Salumerie, Pravatto Pietro,,533
,VENEZIA,COMMERCE E INDUSTRY,Sartorie, Biscontin Antonio,,533
,VENEZIA,COMMERCE E INDUSTRY,Sartorie, Buso Aristide,,533
,VENEZIA,COMMERCE E INDUSTRY,Sartorie, Vidal Giovanni,,533
,VENEZIA,COMMERCE E INDUSTRY,Sartorie, Baradel Luigi,,533
