Provincia,Section,Role_or_Profession,Name,Address,page
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Sindaco,Bianchini Igino,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Segretario Comunale,Bahuadi Leopoldo,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Esattoria Comunale,Cassa di Risparmio di Venezia,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Silvestri Anna Maria,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Campanerutto Alessandro,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Zancano Gemma,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Tassile Giovanni,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Vella Ettore,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Cartini Albino,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Bianchini Igino,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Vanin Giusepina,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI AMMINISTRATIVI,Maestri elementari,Zamparo Ugo,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Tribunale,Venezia,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Pretura,Portogruaro,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Ufficio di P. S.,S. Michele al Tagliamento,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Carabinieri,S. Michele al Tagliamento,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Ufficio Ipoteche,Venezia,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Telefono Pubblico,S. Michele al Tagliamento,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Agenzia delle Imposte,Portogruaro,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Ufficio Registro,Portogruaro,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Ufficio Postale,S. Michele al Tagliamento,,557
S. MICHELE AL TAGLIAMENTO  ,UFFICI PUBBLICI,Ufficio Telegrafico,S. Michele al Tagliamento,,557
