Name,Address,Location,Role,Profession,page
Agrò avv. Francesco,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,LIBERI DOCENTI,Diritto aeronautico,73
Canclà Luigi,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,LIBERI DOCENTI,Geografia economica,73
La Volpe Giulio,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,LIBERI DOCENTI,Economia politica,73
Tenderini Dionisio,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,LIBERI DOCENTI,Statistica economica,73
Azzini Lino,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Ragioneria generale ed applicata,73
Beltrami Daniele,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,Assistente,Storia economica (incar.),73
Bortolini Alberto,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Lingua tedesca,73
Bottaiu Ugo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Lingua inglese,73
Broch Y Llop Francisco,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Lingua spagnola,73
Candida Luigi,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Geografia economica,73
Colombo Bernardo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,Assistente,Statistica (incar.),73
Cudini Giuseppe,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Ragioneria generale ed applicata (id.),73
D’Aloja Leonello,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Diritto pubblico (id.),73
Freund Anna,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Lingua tedesca,73
Gamber Enrico,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Lingua francese,73
Genovese Antea,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,Assistente,Diritto privato (incar.),73
La Volpe Giulio,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,Assistente comandato,Politica economica e finanziaria,73
Longobardi Cesare,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Scienze delle ze e diritto finanziario (incar.),73
Pasin Alberto,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Merceologia (id.),73
Santarelli Antonio,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Economia politica (id.),73
Zecchin Luigi,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,ASSISTENTI E LETTORI,Matematica finanziaria (id.),73
Siciliano Italo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI ORDINARI,Lingua e letteratura francese,73
Pompenti Luchini Alberto,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI ORDINARI,Lingua e letteratura italiana,73
Bertini Giovanni Maria,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI ORDINARI,Lingua e letteratura spagnola,73
Mittner Ladislao,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI ORDINARI,Lingua e letteratura tedesca,73
Brunetti Mario,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Storia,73
Cavaliere Alfredo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Filologia romanza,73
Cronia Arturo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Lingua serbo-croata,73
Gasparini Evel,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Lingua e letteratura russa,73
Mittner Ladislao,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Filologia germanica,73
Polic di Silvio,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Lingua e letteratura inglese,73
Ricci Leonardo,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Geografia,73
Rossi Guido,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Storia della filosofia,73
Stefanini Luigi,"Palazzi Foscari, Giustinian e Rio Nuovo, Anagrafi: 3226, 3232 e 3881",,PROFESSORI INCARICATI,Pedagogia,73
