Name,Address,Location,Role,Profession,Additional Info,page
Marcato don Giovanni,FAMIGLIE RELIGIOSE MASCHILI,Jeolo,Cavazzucherina,Parroco,",",94
Speronello don Fiorino,FAMIGLIE RELIGIOSE MASCHILI,Sorbano,Arciprete,Torcello,",",94
Mutto don Romeo,FAMIGLIE RELIGIOSE MASCHILI,Campalto,Arciprete,SS. GERVASIO E PROTASIO,",",94
Capoia don Mario,FAMIGLIE RELIGIOSE MASCHILI,Marocco,Curato Autonomo,SANTA MARIA DEL CARMINE,",",94
Bottacin mons. Riccardo,FAMIGLIE RELIGIOSE MASCHILI,Chirignago,Arciprete,Torcello,",",94
Giora don Virgilio,FAMIGLIE RELIGIOSE MASCHILI,Dese,Arciprete,Natività di Maria Vergine,",",94
Lazzarato don Romano,FAMIGLIE RELIGIOSE MASCHILI,Favaro,Parroco,SAN ANDREA APOSTOLO,",",94
Vidal Mons. Arturo,FAMIGLIE RELIGIOSE MASCHILI,Mestre,Arciprete,Torcello,",",94
Quintavalle don Carlo,FAMIGLIE RELIGIOSE MASCHILI,Mira,Arciprete,Torcello,",",94
Barbato don Desiderio,FAMIGLIE RELIGIOSE MASCHILI,Malcontenta,Parroco,Torcello,",",94
Zorzi don Gedeone,FAMIGLIE RELIGIOSE MASCHILI,Oriago,Arciprete,Torcello,",",94
Carretta dott. don Angelo,FAMIGLIE RELIGIOSE MASCHILI,Trevignano,Parroco,Torcello,",",94
Tosato don Federico,FAMIGLIE RELIGIOSE MASCHILI,Zelarino,Arciprete,Torcello,",",94
P. D. Martino Ghiglione,FAMIGLIE RELIGIOSE MASCHILI,Grisoleara,Superiore,Benedettini,Dipendenti Abbazia di S. Maria di Praglia (Padova). Curia Generalizia: Subiaco (Roma) - Protocollino di S. Scolastica. | isola di S. Giorgio,94
P. Uluhogian rev. dott. comun. Serapione,FAMIGLIE RELIGIOSE MASCHILI,Grisoleara,Abate generale,Mechitaristi,Tipografia propria. Officiano la Chiesa di Santa Croce presso il ponte dei Ferali a San Giuliano. Hanno pure un collegio per l'educazione della gioventù armena in parrocchia di S. Maria del Carmelo. | isola di S. Lazzaro,94
"P. Enrico Cucchiarini, O. P.",ss. Giov. e Paolo,Grisoleara,Superiore,Domenicani,"Curia generalizia: Roma, S. Sabina Avventino.",94
M. R. P. Girolamo Serafin O. F. M.,San Francesco della Vigna,Grisoleara,Residenza del Provinciale,Frati Minori,"Curia Generalizia. Roma, via Merulana, 124.",94
P. Luigi Maria Alba,San Francesco della Vigna,Grisoleara,Priore,Servi di Maria,"Curia generalizia: Roma, via San Marcello n. 20. | S. Elena",94
P. Vincenzo da Magedris,Giudecca,Grisoleara,Residenza del Provinciale,Minori Cappuccini,"Hanno l'uff. spirituale dell'Ospredale Civile, dell'Ospedale S. Marco, dell'Ospedale delle Grazie, della Pia Casa di Rico.",94
