Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon
,Via Caneve 9,Mestre,,Sezioni,CIMITERI COMUNALI,",",,,49,page_49_semantic.csv,government,,,,,False,"Nominatim outside: Via Caneve 9, Mestre, Italy | type=residential class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Caneve 9, Mestre, Italy","Via Caneve 9, Mestre",True,45.4958508,12.2463541
Ambrosi dr. ing. Augusto,Via Jacopo Nani, Lido,,Presidente,Consiglio di amministrazione,,,,63,page_63_semantic.csv,government,,,,,False,"Nominatim outside: Via Jacopo Nani, Lido, Italy | type=residential class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Jacopo Nani, Lido, Italy","Via Jacopo Nani, Lido",True,45.4115088,12.3698345
Nordio dr. Farani,Lido Via Negroponte 16 B,,,Segretario,Ufficio postale,,,,63,page_63_semantic.csv,government,,,,,False,"Nominatim outside: Via Negroponte 16 B, Lido, Italy | type=residential class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Negroponte 16 B, Lido, Italy","Via Negroponte 16 B, Lido",True,45.4170865,12.3722008
Albuzio nob. cav. Enrico,"Mestre, Via Carducci 3",,,Presidente,S. E. P. R. A. L.,,,,63,page_63_semantic.csv,government,,,,,False,"Nominatim outside: Via Carducci 3, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Carducci 3, Mestre, Italy","Via Carducci 3, Mestre",True,45.4910005,12.2397654
Vianello cav.,"Mestre, Via Carducci 3",,,CONSORZIO DI BONIFICA DESE SUPERIORE,"Direttore, ",,,,63,page_63_semantic.csv,government,,,,,False,"Nominatim outside: Via Carducci 3, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Carducci 3, Mestre, Italy","Via Carducci 3, Mestre",True,45.4910005,12.2397654
Gestioirie Rauqpruppamento Autocarri,Sede di Venezia; Agenzia di città: S. Giovanni Grisostomo 5721. - Sede di Mestre: Via Marghera,,,- ASSOCIAZIONE FRA DIRIGENTI CASE DI SPEDIZIONE DELLA PROVINCIA DI VENEZIA,Società in NOME COLLETTIVO,",",,,67,page_67_semantic.csv,government,,,,,False,"Nominatim outside: Via Marghera, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Marghera, Mestre, Italy","Via Marghera, Mestre",True,45.4771171,12.2663538
PREMIATO MOBILIFICIO,Sede di Venezia; Agenzia di città: S. Giovanni Grisostomo 5721. - Sede di Mestre: Via Marghera,,,- ASSOCIAZIONE FRA DIRIGENTI CASE DI SPEDIZIONE DELLA PROVINCIA DI VENEZIA,Società in NOME COLLETTIVO,",",,,67,page_67_semantic.csv,government,,,,,False,"Nominatim outside: Via Marghera, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Marghera, Mestre, Italy","Via Marghera, Mestre",True,45.4771171,12.2663538
CASA DELL'ARTIGIANATO,Sede di Venezia; Agenzia di città: S. Giovanni Grisostomo 5721. - Sede di Mestre: Via Marghera,,,- ASSOCIAZIONE FRA DIRIGENTI CASE DI SPEDIZIONE DELLA PROVINCIA DI VENEZIA,Società in NOME COLLETTIVO,",",,,67,page_67_semantic.csv,government,,,,,False,"Nominatim outside: Via Marghera, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Marghera, Mestre, Italy","Via Marghera, Mestre",True,45.4771171,12.2663538
Oav. BRUNO GASPARINI,"Via Manin, N. 39 - MESTRE",MESTRE,,- ASSOCIAZIONE FRA DIRIGENTI CASE DI SPEDIZIONE DELLA PROVINCIA DI VENEZIA,Società in NOME COLLETTIVO,Telefono N. 51-165,,,67,page_67_semantic.csv,government,,,,,False,"Nominatim outside: Via Manin 39, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Manin 39, Mestre, Italy","Via Manin 39, Mestre",True,45.4948905,12.2417498
Massuato Giuseppe,VENEZIA • Via XXII Marzo,Mirano,,Consigliere Mandamento,elettricista,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim outside: Via XXII Marzo, Mirano, Italy | type=park class=leisure | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via XXII Marzo, Mirano, Italy","Via XXII Marzo, Mirano",True,45.4584143,9.2094214
Istituto dell'Infanzia Abbandonata,Mestre Via Piave,FAMIGLIE RELIGIOSE FEMMINILI,,Pietro Apostolo,Torcello,",",,,95,page_95_semantic.csv,religious,,,,,False,"Nominatim outside: Via Piave, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Piave, Mestre, Italy","Via Piave, Mestre",True,45.4916749,12.2358887
Cappuccine,Mestre Via Piave,FAMIGLIE RELIGIOSE FEMMINILI,,Pietro Apostolo,Torcello,"S. Raffaele Arc, fondamente dei Cereri",,,95,page_95_semantic.csv,religious,,,,,False,"Nominatim outside: Via Piave, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Piave, Mestre, Italy","Via Piave, Mestre",True,45.4916749,12.2358887
Ugo Angel,"Mestre, Piazza Ferretto 23",Palazzo Faccanon,,Direttore responsabile,IL MATTINO DEL POPOLO,"Corriere Agrario: Mensile,  Studi e notizia agrarie",,,102,page_102_semantic.csv,other,,,,,False,"Nominatim outside: Piazza Ferretto 23, Mestre, Italy | type=square class=place | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Piazza Ferretto 23, Mestre, Italy","Piazza Ferretto 23, Mestre",True,45.4937987,12.2412168
dr. Vittorio Cecchini,"Mestre, Piazza Ferretto 23",Palazzo Faccanon,,Direttore responsabile,IL MATTINO DEL POPOLO,"La Gazzetta di Ca' Foscari: Quindicinale,  periodico di vita universitaria | Ca' Foscari",,,102,page_102_semantic.csv,other,,,,,False,"Nominatim outside: Piazza Ferretto 23, Mestre, Italy | type=square class=place | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Piazza Ferretto 23, Mestre, Italy","Piazza Ferretto 23, Mestre",True,45.4937987,12.2412168
Fontanella Mario,"Lido, Gran viale 82",,,,PROFESSIONISTI E ARTISTI,Architetto,,,108,page_108_semantic.csv,professionisti,,,,,False,"Nominatim outside: Gran viale 82, Lido, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Gran viale 82, Lido, Italy","Gran viale 82, Lido",True,45.4170257,12.3685387
Modena Francesco,Mestre Via Buccari 6,,,,scultore,,,,109,page_109_semantic.csv,professionisti,,,,,False,"Nominatim outside: Via Buccari 6, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Buccari 6, Mestre, Italy","Via Buccari 6, Mestre",True,45.4863294,12.2344711
Barbini Bruno,"Mestre, Via Rosa 24",,,,,",",,,110,page_110_semantic.csv,professionisti,,,,,False,"Nominatim outside: Via Rosa 24, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Rosa 24, Mestre, Italy","Via Rosa 24, Mestre",True,45.4922724,12.2393632
Bazzi Franco,"Mestre, Galleria Matteotti 9",,,,,",",,,110,page_110_semantic.csv,professionisti,,,,,False,"Nominatim outside: Galleria Matteotti 9, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Galleria Matteotti 9, Mestre, Italy","Galleria Matteotti 9, Mestre",True,45.4930828,12.239705
Belli Marco Antonio,"Mestre, Galleria Matteotti 9",,,,,", | Portogruaro",,,110,page_110_semantic.csv,professionisti,,,,,False,"Nominatim outside: Galleria Matteotti 9, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Galleria Matteotti 9, Mestre, Italy","Galleria Matteotti 9, Mestre",True,45.4930828,12.239705
Parisi Emanuele,Via Piave 113,Mestre,,,,",",,,111,page_111_semantic.csv,professionisti,,,,,False,"Nominatim outside: Via Piave 113, Mestre, Italy | type=tertiary class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Piave 113, Mestre, Italy","Via Piave 113, Mestre",True,45.484002,12.2327852
Piveasena Giovanni,"Gall, Gf Matteioti 9",Mestre,,,,",",,,111,page_111_semantic.csv,professionisti,,,,,False,"Nominatim outside: Galleria Giacomo Matteotti 9, Mestre, Italy | type=pedestrian class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Galleria Giacomo Matteotti 9, Mestre, Italy","Galleria Giacomo Matteotti 9, Mestre",True,45.4930828,12.239705
Talamini Ennio,S. Marco 254,Lido,,,,",",,,111,page_111_semantic.csv,professionisti,254.0,,SAN MARCO,,False,"Nominatim outside: S. Marco 254, Lido, Italy | type=unclassified class=highway | FLAGGED",,number_not_in_reference,outside_venice,5f,nominatim_outside_flagged,"S. Marco 254, Lido, Italy","S. Marco 254, Lido",True,43.9101522,10.2422786
Zampato Gaetano,"Mestre, Via Torre Belfredo 18",Attuari,,,,",",,,112,page_112_semantic.csv,professionisti,,,,,False,"Nominatim outside: Via Torre Belfredo 18, Mestre, Italy | type=residential class=highway | FLAGGED",,no_civic_number,outside_venice,5f,nominatim_outside_flagged,"Via Torre Belfredo 18, Mestre, Italy","Via Torre Belfredo 18, Mestre",True,45.4967348,12.2424073
