Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,fail_reason,nom_classification,is_provincia,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon
Vacante,Palazzo Loredan,S. Pietro in Volta,,Medici di Circondario,", ,",,,,,49,page_49_semantic.csv,government,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Vacante,Palazzo Loredan,S. Pietro in Volta,,Ostetriche di Reparto,", ,",,,,,49,page_49_semantic.csv,government,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Coop. Ind. Aff. Ittica e Agricola L. P. I A.,S. Pietro in Volta,Agrumi (grossisti),Alberghi,,,,,,,137,page_137_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Busetto Candido,S. Pietro in Volta,Pellestrina,Location: PELLESTRINA,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Industria Prodotti Ittici Conservati ed Affini,Via Vianelli 573,S. Pietro in Volta,Pellestrina,,,Soc. An.,,,,143,page_143_semantic.csv,industria,573.0,,,San Pietro,False,Nominatim failed and no centroid for s. pietro in volta,number_not_in_reference,outside_venice,False,,outside_venice_failed,"Via Vianelli 573, S. Pietro in Volta, Italy","Via Vianelli 573, S. Pietro in Volta",False,,
Vianello Giovanni,S. Pietro in Volta,Pellestrina,Location: PELLESTRINA,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Zennaro Italia,S. Pietro in Volta,Alluminio,Pellestrina,,,"Pensioni e Locande,",,,,143,page_143_semantic.csv,industria,,,,San Pietro,False,No centroid for s. pietro in volta,no_civic_number,outside_venice,False,,outside_venice_failed,,,False,,
Scarpa Giuseppe,Castello 3151,S. Pietro in Volta,2288,25-889,Mestre,trattoria,,,,453,page_453_semantic.csv,indice_generale,3151.0,,CASTELLO,San Pietro,False,Nominatim failed and no centroid for s. pietro in volta,number_not_in_reference,outside_venice,False,,outside_venice_failed,"S. Pietro in Volta, Italy",S. Pietro in Volta,False,,
Laboratorio Camicerie Eugenia Speri,SOTTOPORT. delle ACQUE 5013,,Camiceria,,,,,,,5,page_5_semantic.csv,cover_ads,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
SOMMO PONTEFICE S. S. PIO XII,,,,SOMMO PONTEFICE,,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,nominatim_failed,,,False,,
