Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,fail_reason,nom_classification,is_provincia,nominatim_query,nominatim_flagged,matched_lat,matched_lon,match_confidence,geocoding_tier
Laboratorio Camicerie Eugenia Speri,SOTTOPORT. delle ACQUE 5013,,Camiceria,,,,,,,5,page_5_semantic.csv,cover_ads,,,,,False,"Nominatim failed: query=Sottoportego delle Acque, Venezia, Italy | type=nan class=nan",no_civic_number,inside_venice,False,"Sottoportego delle Acque, Venezia, Italy",False,,,nominatim_failed,
SOMMO PONTEFICE S. S. PIO XII,,,,SOMMO PONTEFICE,,(Eugenio Pacelli) (CCXLII dopo S. Pietro) nato a Roma il 2 marzo 1876 - Eletto Pontefice il 2 marzo 1939,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GENNARO GRANITO PIGNATELLI DI BELMONTE,,,,Vescovo di Ostia e di Albano,,Decano del Sacro Collegio,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ENRICO SIBILIA,,,,Vescovo di Sabina e Poggio Mirteto,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ENRICO GASPARRI,,,,Vescovo di Velletri,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
FRANCESCO MARCHETTI SELVAGGIANI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Frascati,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
EUGENIO TISSERANT,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Porto e Santa Sabina,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
CARLO SALOTTI,Arciprete della Patriarcale Basilica Lateranese Vicario Generale di S. S.,,,Vescovo di Palestrina,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
GREGORIO PIETRO AGAGIANIAN,S. Bartolomeo all’Isola,,,,,Patriarca di Cilicia degli Armeni,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
ALESSIO ASCALLESI,San Callisto,,,,,Arc. di Napoli,,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
BENEDETTO ALOISI MASELLA,S. Maria in Vallicella,,,,,",",,,,36,page_36_semantic.csv,religious,,,,,False,Nominatim failed: query=None | type=nan class=nan,no_civic_number,inside_venice,False,,False,,,nominatim_failed,
