Name,Address,Location,Category,Role,Profession,Additional Info,Journal,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,matched_lat,matched_lon,matched_parish,matched_sestiere,matched_lett,all_doors,match_confidence,match_note
OTTOR E BORTOLI,Venezia - Cannaregio N. 5630,,Impresa impianti elettrici industriali,,,"Vendita all’ingrosso e al minuto di materiale elettrico, articoli per regalo",,,,3,page_3_semantic.csv,cover_ads,5630.0,,CANNAREGIO,,45.43994349555267,12.33594171640466,San Canziano,CANNAREGIO,,"[{""lett"": """", ""lat"": 45.439943, ""lon"": 12.335942}, {""lett"": ""A"", ""lat"": 45.439961, ""lon"": 12.336077}]",unique_parish_in_sestiere,"num=5630.0: 2 doors, all in same parish; using first"
CASA DEL REGALO,S. Luca N. 4480,,Articoli per regalo,,,"Sopramobili d’arte, Maioliche, Porcellane, Vetri di Murano, Cristallerie, Mobili bar, Argenterie, Posaterie, Articoli per spiaggia, Bijouteries, Poliotterie, Articoli casalinghi di lusso, Specialità veneziane",,,,3,page_3_semantic.csv,cover_ads,4480.0,,,San Luca,45.43572034934885,12.335561582296169,San Luca,SAN MARCO,,"[{""lett"": """", ""lat"": 45.43572, ""lon"": 12.335562}, {""lett"": ""B"", ""lat"": 45.435624, ""lon"": 12.33564}, {""lett"": ""A"", ""lat"": 45.435604, ""lon"": 12.335646}]",exact_parish_multi_door,"num=4480.0: 3 doors in parish, using first"
Olivetti,San Marco - Bacino Orseolo 1224,,Macchine per scrivere,,,"Filiale di Venezia, Contabili da calcolo, Schedari, Officina per riparazioni, Assistenza tecnica e manutenzione",,,,41,page_41_semantic.csv,government,1224.0,,SAN MARCO,,45.43401124091004,12.336707561716851,San Marco,SAN MARCO,B,"[{""lett"": ""B"", ""lat"": 45.434011, ""lon"": 12.336708}, {""lett"": ""A"", ""lat"": 45.434036, ""lon"": 12.336782}, {""lett"": """", ""lat"": 45.434027, ""lon"": 12.336859}]",unique_parish_in_sestiere,"num=1224.0: 3 doors, all in same parish; using first"
Turci prof. Angiolo,"Dorsoduro 1402.A,",,,Presidente,",",,,,,44,page_44_semantic.csv,government,1402.0,,DORSODURO,,45.430216862330575,12.323971253621195,Santi Gervasio e Protasio,DORSODURO,,"[{""lett"": """", ""lat"": 45.430217, ""lon"": 12.323971}, {""lett"": ""A"", ""lat"": 45.430294, ""lon"": 12.324135}, {""lett"": ""B"", ""lat"": 45.430371, ""lon"": 12.324169}, {""lett"": ""C"", ""lat"": 45.430605, ""lon"": 12.324273}]",unique_parish_in_sestiere,"num=1402.0: 4 doors, all in same parish; using first"
Favaretto Fisica ing. Giovanni,Castello 6449,,,Vice Presidente,",",,,,,44,page_44_semantic.csv,government,6449.0,,CASTELLO,,45.438374877205,12.344138810432767,Santi Giovanni e Paolo,CASTELLO,,"[{""lett"": """", ""lat"": 45.438375, ""lon"": 12.344139}, {""lett"": ""A"", ""lat"": 45.438309, ""lon"": 12.34411}]",unique_parish_in_sestiere,"num=6449.0: 2 doors, all in same parish; using first"
Borin or. Iginio,Castello 3464,,,Membro,",",,,,,44,page_44_semantic.csv,government,3464.0,,CASTELLO,,45.43549427348251,12.3457330742969,San Giovanni Bragora,CASTELLO,,"[{""lett"": """", ""lat"": 45.435494, ""lon"": 12.345733}, {""lett"": ""A"", ""lat"": 45.435443, ""lon"": 12.345734}]",unique_parish_in_sestiere,"num=3464.0: 2 doors, all in same parish; using first"
Taromba dr. Alessandro,S. Croce Campo dell Lana 690,,,Medico Direttore,",",,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",unique_parish_in_sestiere,"num=690.0: 2 doors, all in same parish; using first"
Linzoir dr. Giovanni,S. Croce Campo dell Lana 690,,,Medico aiuto,",",,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",unique_parish_in_sestiere,"num=690.0: 2 doors, all in same parish; using first"
Tursi prof. Angiolo,S. Croce Campo dell Lana 690,,,Presidente,",",,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",unique_parish_in_sestiere,"num=690.0: 2 doors, all in same parish; using first"
Pancino dr. Giuseppe,S. Croce Campo dell Lana 690,,,Segretario,",",,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",unique_parish_in_sestiere,"num=690.0: 2 doors, all in same parish; using first"
Battain dr. Domenico,S. Croce Campo dell Lana 690,,,Direttore Sanitario,",",,,,,45,page_45_semantic.csv,government,690.0,,SANTA CROCE,,45.44007871016221,12.32244259961908,San Simeone Profeta,SANTA CROCE,,"[{""lett"": """", ""lat"": 45.440079, ""lon"": 12.322443}, {""lett"": ""A"", ""lat"": 45.440076, ""lon"": 12.322464}]",unique_parish_in_sestiere,"num=690.0: 2 doors, all in same parish; using first"
,Campo Tana 2124-c,Castello,,(II),", ,",,,,,49,page_49_semantic.csv,government,2124.0,C,CASTELLO,,45.43315032913489,12.35200461462186,San_Martino,CASTELLO,,"[{""lett"": """", ""lat"": 45.43315, ""lon"": 12.352005}, {""lett"": ""B"", ""lat"": 45.433151, ""lon"": 12.351962}, {""lett"": ""A"", ""lat"": 45.433153, ""lon"": 12.351933}]",unique_parish_in_sestiere,"num=2124.0: 3 doors, all in same parish; using first"
Fiorese cav. uff. Gaetano,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Direttore,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Parocco Giulio,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Segretario,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Toscan rag. Luigi,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ragioniere,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Zanetti Federico,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ispettore Contabile,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Canzoso Gino,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Cassiere,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Jandi Umberto,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Ispettore Capo,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Tempesta Costantino,S. Silvestro Riva del Vin 1098,S. Silvestro,,Appalto: Società 'Trezza di Verona,Vice Ispettore,,,,,50,page_50_semantic.csv,government,1098.0,,,San Silvestro,45.43719941555865,12.33365471537797,San Silvestro,SAN POLO,,"[{""lett"": """", ""lat"": 45.437199, ""lon"": 12.333655}, {""lett"": ""A"", ""lat"": 45.437169, ""lon"": 12.33359}, {""lett"": ""B"", ""lat"": 45.437179, ""lon"": 12.33361}]",exact_parish_multi_door,"num=1098.0: 3 doors in parish, using first"
Dr. Antonio Ca' Zorzi,"S. Polo 2766, Venezia",,,Membro per l'agricoltura,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,2766.0,,SAN POLO,,45.43618310662337,12.329015834575252,Santa Maria Gloriosa,SAN POLO,,"[{""lett"": """", ""lat"": 45.436183, ""lon"": 12.329016}, {""lett"": ""A"", ""lat"": 45.436196, ""lon"": 12.328856}]",unique_parish_in_sestiere,"num=2766.0: 2 doors, all in same parish; using first"
Ing. Massimo Velattà,Cannaregio 150,,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,150.0,,CANNAREGIO,,45.442020446658816,12.323268118111333,San Geremia,CANNAREGIO,A,"[{""lett"": ""A"", ""lat"": 45.44202, ""lon"": 12.323268}, {""lett"": """", ""lat"": 45.442048, ""lon"": 12.323311}]",unique_parish_in_sestiere,"num=150.0: 2 doors, all in same parish; using first"
Sig. Arturo Regazzo,Cannaregio 150,Mazzè-ho di Burano,,Appalto: Società 'Trezza di Verona,ENTE PROVINCIALE PER IL TURISMO DI VENEZIA,,,,,52,page_52_semantic.csv,government,150.0,,CANNAREGIO,,45.442020446658816,12.323268118111333,San Geremia,CANNAREGIO,A,"[{""lett"": ""A"", ""lat"": 45.44202, ""lon"": 12.323268}, {""lett"": """", ""lat"": 45.442048, ""lon"": 12.323311}]",unique_parish_in_sestiere,"num=150.0: 2 doors, all in same parish; using first"
