Name,Address,Profession,Additional Info
Speri E. Laboratorio Camiceria,Cannaregio 1956-60,Camiceria,"Pigiami; Vestaglie da uomo; Confezioni per signora; Laboratorio Tel. 25-104; Negozi: S. Marco Mercerie del Capitello 4151; Sottoportico delle Acque 5013; Tel. 22-249 | AD"
Nicolaj Ulderico,S. Marco 3415,Canapa e Lino,
Stabilimenti per l'Industria della Juta e Canapa,S. Marco 1119,Canapa e Lino,
S.A. Linificio Canapificio Nazionale,Campo S. Provolo 4706,Canapa e Lino,"Tel. 23-927"
Bruci Giorgio,Castello 5367-A,Candele,
Cattapan Basilio ed Elia Luigi,Mestre Via Palazzo 4,Candele,
Cercia S. Marco,Cannaregio 2607,Candele,
Fulin Pietro,Calle Botteri,Candele,
Industria Veneziana Candele Decorative,S. Simeone Calle Lunga 739,Candele,
Rossi Speranza,Burano S. Mauro 122,Candele,
Secco Angelo,S. Marco 3729,Candele,
Venchierutti Antonio e Figli,Cannaregio 2639,Candele,
Amadi Antonio,Burano Via Pontenelle 33,Candele,
Azienda Lagunare Fluviale Adriatica A.I.F.A.S. De Rossi e C.,Castello 2143,Cantieri Navali,
Bardelle Carlo e C.,S. Croce 360A,Cantieri Navali,
Bovo Giovanni,Burano Terranova 999,Cantieri Navali,
Cantiere Celeste Soccol,Cannaregio Abbazia 3547,Cantieri Navali,"Costruzioni navali Tel. 25-307"
Cantiere Celli,S. Elena 1,Cantieri Navali,"Costruzioni navali da diporto sportive e da guerra Tel. 24-962; 27-911 | AD"
Cantiere Cinti,Giudecca 10,Cantieri Navali,
ZAGO F.lli,S. Polo 1479,Fotografia e stampa,"Ritratti artistici; lavori industriali; reparto eliocinematografico; vendita materiale fotocinematografico Tel. 24-396 | AD"
