Name,Address,Location,Role,Profession,page
Gianquinto avv. Gio Batta,,,,Sindaco,48
Tolomei dr. Francesco,,,Prosindaci,",",48
Valentini Arturo,,,Prosindaci,",",48
Cacciapaglia comm. dr. Michelangelo,Palazzo Loredan,,Segretario generale,",",48
Cometti cav. Umberto,Palazzo Loredan,,Dirigente incaricato,",",48
Pignatti dr. Gino,Palazzo Loredan,p. II,Capo ufficio,",",48
Tognana Francesco,Palazzo Loredan,p. II,Ufficio Contravvenzioni,",",48
Manzini cap. Guglielmo,Palazzo Loredan,p. II,Direttore,",",48
Mazzoleni Giovanni,Palazzo Loredan,p. II,Gerente,",",48
Astolfoni ing. Astolfo,"Palazzo Farsetti, p. III",p. II,Capo Divisione,",",48
Rossi ing. Giulio,"Palazzo Farsetti, p. III",p. II,Capo Div.,",",48
Midrio ing. Antonio,"Palazzo Farsetti, p. III",p. II,Capo Sez.,",",48
Puppolini cav. uff. Attilio,"Palazzo Farsetti, p. III",p. II,Capo Sez.,",",48
Dozzi dr. Giulio,"Palazzo Farsetti, p. III",p. II,Segretario Capo Sezione,",",48
Santini dr. Mario,"Palazzo Farsetti, p. III",p. II,Direttore giardini pubblici,",",48
Oria cav. uff. prof. dr. Alessandro,"Palazzo Loredan, p. III",p. II,Ufficiale sanitario medico capo,",",48
Torresini dr. Aldo,"Palazzo Loredan, p. III",p. II,Medico ispettore del servizio sanitario,",",48
Braion dr. Arnolfo (interino),"Palazzo Loredan, p. III",p. II,Medico vic ispettore del servizio sanitario,",",48
De Giorgio Peloso dr.ssa Maria Teresa,"Palazzo Loredan, p. III",p. II,"Medici ispettori delle scuole,",",",48
Legrenzi Sanciati dr. Emma,"Palazzo Loredan, p. III",p. II,"Medici ispettori delle scuole,",",",48
Guidastri dr. Carlo,"Palazzo Loredan, p. III",p. II,Vice ispettore di annona,",",48
Chiamenti ing. Armando,"Palazzo Loredan, p. III",p. II,Ingegnere igienista,",",48
Tescari dr. Domenico,"Palazzo Loredan, p. III",p. II,Segretario capo sezione,",",48
Romano cav. dr. A.,"Palazzo Loredan, p. III",p. II,Direttore veterinario,",",48
Iadmini dr. Luigi,"Palazzo Loredan, p. III",p. II,Veterinario assistente,",",48
Matteotti Ferruccio,"Palazzo Loredan, p. III",p. II,Ispettore,", ,",48
