Provincia,Section,Role_or_Profession,Name,Address,page
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie marittime,Venerucci Antonio,riva Canal Lombardo,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie marittime,Pagan Manlio,Canal Lombardo,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie marittime,Cavallarin Umberto,Dogana 'Corso del Popolo,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie marittime,Gamba Guido,Riva Canal Lombardo 1428,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie marittime,Ferro Gino,Via Bersaglio 345,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Fabbriche acque gassose,Poli Italico,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Fabbriche acque gassose,Vianello F.lli,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Acquedotti,S. A. Acquedotti Abbazia e,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Acquarelli e fotografie,Ercolani Candido,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie trasporti,Penzo e fratelli,Corso del Popolo Vigo,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Agenzie trasporti,Pian Gino,Stradale ponte S. Andrea,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Alberghi,Italia,Corso del Popolo,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Alberghi,Boscolo Fiorello Lisetto,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Alberghi,Villa Anzoletti,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Alberghi,Villa Marina,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Alberghi,Zaramella Mario,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Pensioni,Val d'Ostriche,Ricci Giuseppe,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Pensioni,Bella Venezia,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Pensioni,Bettuto Scipione,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Locande,Antico Barbiere,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Locande,Antico Gobbo,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Locande,Bussoni Jole,in Albertini,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Bertotto Michelangelo,S. Andrea,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Ballarin Giovanni,S. Giacomo 707,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Zeynlo Lodovaro,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Scarpa Giuseppe,S. Andrea 78,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Bullo Felice,S. Andrea,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Tiozzo Albino,Sottomarina 649,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Mosè Cotandin,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Giant Emilio,S. Andrea 168,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Giovanni,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,De Grandis Antonio,Duomo 593,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Basilio,Sott. 790,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Aldemino,Sottomarina 372,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Albino,Sottomarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Sambo Salvino,S. Andrea 844,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Boscolo Pilinio,Sottomarina 577,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Armatori,Fratelli Tumizzati,Contarina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Boscolo Erminia,Sott. 825,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Pagan Vittore,S. Andrea 1278,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Poncina Giulio,Sott. 709,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Riegini Eugenio,S. Giacomo 685,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Vianello Luigia,S. Giacomo 523,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Zen Mario,S. Giacomo 163,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli Casalinghi,Zerletti Fortunata,Duomo 978,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli da pesca,Ditta Fratelli Frigierio,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Articoli da pesca,Ditta fratelli Balla,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Periti,Bellemo comm. Eugenio,Calle S. Caterina,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Forniture peschereccie,Donaggio Cesare & Figli,,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Rappresentanze,Gino Ferro,Via Bersaglio 345,507
CHIOGGIA,COMMERCIO E INDUSTRIA,Rappresentanze,Tessarin Ferdinando,Calle Gradara 216,507
