Provincia,Section,Role_or_Profession,Name,Address,page
,VENEZIA,PROFESSIONISTI,Farmacisti,Papa dott. Elena,,527
,VENEZIA,PROFESSIONISTI,Medici,Mollica dott. Pietro,,527
,VENEZIA,PROFESSIONISTI,Medici,Rossi Antonio,,527
,VENEZIA,PROFESSIONISTI,Ostetriche,Dall'Oro Jole,,527
,VENEZIA,PROFESSIONISTI,Ostetriche,Basilisco Anna,,527
,VENEZIA,PROFESSIONISTI,Ostetriche,Visini Antonietta,,527
,VENEZIA,PROFESSIONISTI,Veterinario,Veronese dott. Domenico,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Autocorrieri,Fratelli Ferrari,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Autocorrieri,Grisolera,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Automobili (Garage e Noleggio),Orlando Luigi,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Automobili (Garage e Noleggio),Casl De Medio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Barbieri,Maritan Giovanni,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Barbieri,Molinari Bartolomeo,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Barbieri,Maggiolo Severino,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Babuj Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Coppo Giovanni,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Dalla Zorza Pier Luigi,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Bonatto Romano,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Donadon Zanett Maria,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Ferretto Luisi,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Fiorindo Ferdinando,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Novello Emilio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Manzini Irene,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Ramon e Benagliaco,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Sartor Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Silvestri Antonio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Bernardini Giovanni,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Vignani Oreste,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biade, coloniali ed affini,Vian Riccardo,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Dolci Amedeo,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Lucchetta Gino,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Pedrini Armando,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Cerchier Gino,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Frilli,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Biciclette (Noleggio, riparazioni, accessori),Lucchetta Umberto,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Calzature,Nani Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Calzature,Soldo Giuseppe,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Calzature,Pellegrini Emilio,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Calzature,Boccato Margherita,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Carradori e carozzieri,Cerchier Federico,,527
,VENEZIA,COMMERCIO E INDUSTRIA,Carradori e carozzieri,Cerchier Pietro,,527
